Sentence,Sentiment
"sinan mesaj atıyo, sıma atıyo, turkcell atıyo, elo atıyo, tivitır atıyo, yunus atıyo ama o benim mesajıma cevap vermeye üşeniyo nys",notr
kahrolsun avea yaşasın turkcell,olumlu
Sen boşver turkcell'i benimle bağlan hayata,notr
turkcell onu 100 milyon dolara satın aldı! -,notr
"@mavihayalet2 SMS Kampanyası ile alınabilecek,şuan Turkcell ve Türk Telekom ile anlaşıldı. Eğer bir gelişme olursa buradan haberdar edeceğim",notr
@Turkcell ++mağazada böyle çalışanlar yaptığınız işe bugüne getirdiğiniz Turkcell adına hakarettir!,olumsuz
Karnemi turkcell bayisinde unutmak var bide shjkdjdjks,notr
"turkcell sanırsın ev kredisi, 36 ay ne demek... sende suç yok, 36 ay taksitle bir telefon alan insanları incelemek gerek",notr
"SPK, Turkcell İletişim Hizmetleri A.Ş. (TCELL) ve Koç Holding A.Ş. (KCHOL) pay piyasasında",notr
"2 gb internet paketi yaptIm, turkcell aSkIm 2 gb daha hediye verdi, Suan 4 gb paketim vaaaarrrr! genC turkcell'li olmak diye ben suss |22 |21 |21",olumlu
Hic cekmeyen vodafone yapmislar. Sanirim turkcell e dönme vakti geldi.,olumlu
Turkcell Allah evine ateşler salsın birliğini bozsun bu ne yavaş bur internet.,olumsuz
"Bi sorun, anam babamda niye turkcell var?? @avea",olumlu
Gerizekalı Turkcell twitter'a girdigim halde facebook'a girdin diyerek mesaj attı ve 50 kuruşumu yedi. Mal Turkcell,olumsuz
Çok utanıyorum ama itiraf edeyim.o mesaj az önce bana da geldi. Turkcell i yarın bırakıyorum,olumsuz
az bi bakIn canIna yandIklarIm turkcell veya avea operatOrlU biri lazIm acil bi el atsanIz,notr
Turkcell günde 5 kere mesaj atıyor valla ödüycem faturayı abi ya kurban oluyum atma artık,olumsuz
tamam da turkcell? @iremsak,notr
Bize #mesajgelse gelse turkcell'den gelir,olumsuz
Turkcell li olduğuma bende inanamıyorum.,notr
Sosyal dünyadan kopim dedim az kalsın kalpten gidiyodum ama turkcell ile bağlandım hayata,olumlu
turkcell'in yeni reklamına bayildimyüzuneee ele dümdüüük,olumlu
"#jsist2014 deki sohbetler ve sunumlardan izlenimlerim, son bir yılda Turkcell iç uygulamalarında front-end olarak çok iyi duruma gelmişiz.",olumlu
Serefsiz turkcell internetleri yavaSlatmadIysa adam deGilim. 4.5 g'ye geCmezsek neler yapacaklarInI gOsteriyorlar,olumsuz
250 mb için tşk turkcell kardeş,olumlu
turkcell 5g'nin kapısını araladı,olumlu
"Turkcell bana iyilik yapmis. :) bedava konusma, bedava sms.. Cook senelik musterilerine yapiyolar da 3 faturami almasalar daha iyi olur.",olumlu
"Turkcell Superonline > ttnet. 2 senedir Superonline kullanıyorum, bi kere sorun çıkarmadı :) ttnet olsa işin yoksa ayda bir ara dur.",olumlu
Gerçektende Turkcell'in çekim gücünü özlemişim adamsın turkcell,olumlu
turkcell her yerde çekiyormuş. ulan daha bizim okulun ilk katında çekmiyor neyin kafası bu?!,olumsuz
Bank Asya'dan sonra sıra Turkcell'e gelecek.,notr
10 tane tel hattım var sınırsız 1 tl deseler de turkcell e geçmem,olumsuz
Bana turkcell içi 1000 dk verip anneme 1 gb internet veren turkcell zalımsın..,olumsuz
"Hani herkesin aklında kalan bi reklam vardır ya, bendeki her zaman bir Turkcell reklamı olmuştur. Gerçekten harika temalar kullanıyorlar.",olumlu
ve beklediğim o mesaj geldi. dat dat tarihi dat dat saati itibari ile sms paketinizin süresi dolmuştur.Eyvallahın can turkcell.,olumsuz
webtekno turkcell t50 tasarimina benziyor sanki,notr
Turkcell GNÇYTNK Kampüsü'nde,notr
"sarı kutudaki puanlarımla bilyonerden yılbaşı bileti alacağım, verilen kampanya kodu hatalı, bu nasıl rezil işbirliği? bilyoner turkcell",olumsuz
turkcell avea turkeyneedsantiworldtour rihannanın türkiyeye gelmesi için yardımcı olmanızı bekliyoruz turkısh navy olarak,notr
Turkcell soydun yine beni !!! Her ay olmaz böyle,olumsuz
turkcell kalben'in canIm SarkIsI harcamIS.. o nasIl itici bir reklam Oyle!! biz bu iSi hiC beceremiycez bence |12,olumsuz
"-Hayat paylaşınca güzelllll, diye diye sömürdün bizi be Turkcell",olumsuz
"Turkcell : Elit bir mekanda cafe. Avea      : Çay ocağı. Maksat çaysa , ben çayocagina gidiyorum.",olumlu
@vikkijarvi vayyyy hani turkcell'den vodafone geCiS vardI. siz takipCilerinizi kandIrmaya utanmIyor musunuz hanfendi?,notr
turkcell - dümdük mükemmel bi reklam olmuş yaa,olumlu
@NurGkkyun biraz daha saklı kalmaya devam edersen turkcell ile büyük  anlaşma yaparak ortak olmak istiycem . nerdesiin sen :D,notr
"Buket Uzuner kitaplardan uyarlanan filmleri ""Turkcell ile Oscar Canlı Yayını""nda değerlendiriyor. Tıkla İzle",notr
"Turkcell style reklamı, reklamın iyisi kötüsü olmaz sozune tepkı olarak çekılmıs sanırım.",notr
Turkcell'e bayıldığım paralar haram olsun lan,olumsuz
turkcell de her ay 2000 dk her yone konusmam var ama hic bir zaman o 2000 dk 0 lanmadi acaba niye cunku sevgilisizlik,notr
Birazdan gidip Turkcell baz istasyonu bulup tekmeleyeceğim bu internetin yavaşlığı nedir,olumsuz
bi arada turkcell 4 çeker korhan fırat çok şeker diye şeyler paylaşılıyodu,notr
Konusacak kimse yoksa bedava dakikada istemiyorum.Turkcell,olumlu
Hani turkcell heryerde cekiyordu.neden bu evde cekmiyor ne tlf nede interneti cekiyo bari insanları kandırmayınn.,olumsuz
Turkcell'liler BiP'ten karşılıklı hediye kazanmak isteyen mesaj atsin beraber hediye kazanalim...,olumlu
doğum günümü kutlayan turkcell ve twittera cok tşk aajaja,olumlu
"turkcell'e verilen hizmetlerden, müşteri temsilcilerinden ve kampanyalardan ötürü teşekkürlerimi sunarım. @turkcell @tcellplatinum",olumlu
"Turkcell'de paket aşımı olduğu için habire bi üst pakete geçiyorum,fatura geliyo,yine fazla.Napim yani,paket arttıra arttıra uzaya mı çıkim?",olumsuz
Lan o değil de beni bi annem bir de turkcell arıyor -_-,notr
turkcell logosu göndermiş ama ya dalga geçmiyorum aslında hoşuma gidiyo be izlendikçe,notr
turkcell t60 ön satışa çıktı detaylar için sitemizi zayret edin,notr
@superonlinetr her gün aranıp rahatsız edildiğim TURKCELL superonline tez zamanda Allah belanızı verir inşallah,olumsuz
@UniSam_Mustafa  Turkcell OK,notr
"@VodafoneDestek Merhaba. Ocak ayında Turkcell'den Vodafone'a geçtim. Daha ucuz tarife olsun diye. Tarifem, 750 dakika, 3 GB, 1000 SMS 29 TL",olumsuz
cidden oturup ağlicam ne biçim bi tarifesin be turkcell düzelt internetimi ulen,olumsuz
yuh diyorum turkcell müzikte ilk 100 de sadece ilk 30 sırada orhan gencebayla bir ömür albümünden şarkı var :D,olumsuz
Turkcell'le ciddi düşünüyorum.. :)) Gömülü resim için kalıcı bağlantı,notr
Turkcell kadar vefalı dost bulunmaz mesajları beni umutlandırıyor,notr
Anladııım Turkcell veCocaCola reklamları ağıza takılsın diye varr,notr
"turkcell'in reklam filmi, fatih'in fedaisi kara murat filminden daha heyecanlı yeminle... eziyet resmen",olumlu
2 ay fatura ödemedik diye hattımızı kapatan Turkcell TurkcellHizmet size de yazıklar olsun.,olumsuz
Borsa İstanbul | Koç Holding ve Turkcell hisselerinde az önceki şaşırtıcı düşüş yanlış işlemden kaynaklanmış ve düzeltilmiş. (Bloomberg HT),notr
Turkcell bi gunde bozulan sarj aleti yapiginiz icin sizden nefret ediyorum insallah batarsiniz geberin,olumsuz
Insanların sabırsızlıktan birbirini öldürdüğü bir dünyada daha hızlı internet için turkcell,olumlu
"turkcell yılbaşında puanlarımızın bir kısmı silindi, üstelik biriktirmek için o kadar uğraştık ve güzel bir kampanya yapmadınız gitti hepsi",olumsuz
hepiniz turkcell boykot deyip başka operatörlere geçtiniz hepiniz pişmansınız :s,olumlu
Turkcell Müzik'te 'Cem Özkan-Yeni Bir Hayatşarkısını dinliyorum. Sen de dinlemek istersen; http://trcll.im/uwPqD,olumlu
@Turkcell istanbul'un göbeğinde çekmeyen turkcell keyfi.. Nasıl yapsak bu durumu ?,olumsuz
Benm Telefonum odam da çekmiyorsa ne anladım bu işten? turkcellHizmet turkcell,olumsuz
ilk defa turkcell konuşma paketi bitti diye mesaj attı,notr
#SuperAnnelerGunu Turkcell Superonline’dan @superonlinetr http://on.fb.me/SuperAnnelerGunu …,notr
temiz turkcell t50 acil satılıktır. ilgilenen kişiler yorum yapsın ulaşırım.rumuz : acil,notr
"#yavuzhIrsIzensarcell turkcell kullanma, kullandIrtma. tecavUzcUlere sponsor olma. (kamu spotu)",olumsuz
Mobil internet mi ? turkcell çok geridesin be abi :/,olumsuz
Genc turkcell reklam sarkisi tatil ozlemimi tetikliyor...,notr
Turkcell yüzünden kendimi maden işçisi gibi hissediyorum. Bi türlü eksıden yukarı cıkamadım.,olumsuz
+Baba bak Turkcellden fatura gelmiş.-Telefon faturası mı ?+Turkcell yazdığına göre doğalgaz baba :dD:Dd,notr
tatalcem güncelleme önümüzdeki günlerde telefonunu turkcell’den alan kullanıcılarımız için de yayında olacak.,notr
dogabas hızır gibi yetişen 1gb bereket versin tşk turkcell,olumlu
yIldIz tilbe'li 14 Subat temalI genC turkcell reklamI baSarIlI olmuS.,olumlu
Komşunun çocuğu bile turkcell reklamında oynuycak bende hala bi numaralar yok,olumsuz
@izzetcapa Vodafona geçmiştiniz. Şimdi bende Turkcell'e delirmek üzereyim. Nasıl memnuniyet devam ediyor mu,olumsuz
10 yıllık turkcell kullanıcısıyım ama buraya kadarmış. Elveda @turkcell,olumsuz
"mrzubeyir ki zaten teknolojik alt yapı olarak vodafone turkcell ile yarışamaz, orada staj yapmış biri olarak söylüyorum bunu ;)",olumlu
aynen turkcell hIrsIz herkes dolandIrIyor,olumsuz
"Turkcell görünümlü avea, sen varya çok fena pis bir şeysin. Sana Turkcell güvenmiyor artık, ben hiç güvenmiyorum zaten.",notr
Turkcell mesajları geç iletiyorsa bu benim suçum mu,olumsuz
turkcell'i seviyorum. adamlar/bayanlar müşterisini mutlu etmek için her türlü kampanyayı yaratıyorlar. biz bilmiyoruz o ayrı :),olumlu
turkcell sonunda adam akıllı bir reklam yaptı... Hızı anlatmak için doğru kişiyi kullandı :D @Vollkanisik,olumlu
Evin tam karşısında nite Turkcell yerine Avea yok kiii,notr
An itibariyle annem hattımı Turkcell'e taşımış. 6 gün içinde açılacak :(,olumlu
Turkcell kadar kazığını görmedim o kadar kontür yükledim 2 tl kaldı nereye gitti anlamadım,olumsuz
"Kırmızı ışıkta beklerken o kısa sürede internetten telefonuma TL yükleyebildiğim tek operatör Turkcell'dir, candır.",olumlu
Beşiktaş gibi merkezi bir yerde dahi çekmeyen  Turkcell in abv.,olumsuz
2 günlük tatil ne çabuk geçti turkcell süperonline gibi :),olumlu
"Mecidiyekoyden Suadiyeye gelene kdr 5 noktada internet off oluo! 3G'nden ne fayda gordukki 4,5tan gorucez! Turkcell",olumsuz
tr'deki ilk isim elbette turkcell hattimi degistirmek oldu! #ensarvakfikapatilsin,olumsuz
Turkcell'den Avea'ya geçmek: Attan inip eşeğe binmek,olumlu
Turkcell'li olmak zorunda mıyım?I Love Vodafone ?,olumsuz
"Ulan bu turkcell çok ibne, sahur paketi gece 4 ve 6 arası olurmu",olumsuz
Turkcell sağolsun her hafta sonu düzenli olarak 500 mb internet gönderiyo :D,olumlu
kızım sevdiğin çocuğun mesaj atmadığı kimse kalmamış turkcell gibi ama yinede sen bilirsin.,notr
inanIlmaz birteknoloji harika bir prog. emeGi geC. ve turkcell'i tebrik ediyorum #turkcellteknolojizirvesi #turkcell,olumlu
"Ensar Vakfı'nın sponsoru olan Turkcell'in yıllık kârı yüzde 27 düştü, Sakın kader deme kaderin üstünde bir kader vardır !",olumsuz
@Turkcell bizim  başımız  kelmi  turkcell  bizde  turkcell  musterisiyiz  illa  neden 4.5 g olmak  zorunda,olumsuz
"Turkcell’lilerin yerine artık cep telefonları konuşuyor: Turkcell kullanıcıları, artık istedikleri zaman kendile... http://bit.ly/YZujDA",notr
Turkcell bu saatte mesaj mi atilir be arkasim kalbim cikti yerinden pic kurusuuu :)),olumsuz
Turkcell bari hava durumu gönderiyordu hergün düzenli olarak. Kendimi yalnız hissetmiyordum. Şimdi o da yok.,notr
nasuhigungor turkcell superonline ile ilgili sorularınız için superyardim hesabından destek alabilirsiniz.,notr
Turkcell Müzik'te Elif Buse Doğan -  girişte ki kemence muhteşem degil mi ?  https://t.co/AwAmJJ0sRS https://t.co/z4W5TRBaZz,olumlu
2015-2016 Turkcell'in reklam filminde oynamıştık;)…,notr
"Boğaziçi Köprüsü'nün yarısında, (Anadolu yakası kısmında) Turkcell'in ne şebekesi ne de 3G'si çekiyor.Her gün test ediyorum. :) Kesin bilgi!",olumsuz
Turkcell evrak eksik diye telefonu aramalara kapatmak özgürlüğe müdahaledir.,olumsuz
Osman beni turkcell li sanmış hem parası gitmiş hemde mesjları :D,notr
@ahakanyesilyurt turkcell müzik te 50 şarkı indirmek 7 lira çok uygun hemen bütün albümü indiriyorum,olumlu
Turkcell reklamındaki dede favorim,notr
"Turkcell antenli taksilere bindigimde kendimi, Mini Mouse'un kulakligini takan kizlar kadar gulunc hissediyorum.",olumsuz
"Turkcell Süperonline sen bu isi biliyorsun. Arayıp \Ne zaman müsaitsiniz interneti bağlamak için\"" demeniz ne de güzel yahu.""",olumlu
"turkcell derdin her neyse benimle adam gibi iletiSime geC, ObUr tUrlU mesajIn bana ulaSmadan siliniyor.",notr
Turkcell'e bak ya bu saatte mesaj gönderilirmi. Turkcell bile sapıtmış :D,olumsuz
turkcell tUketici haklarI kanununu fUtursuzca CiGniyor engel olmak iCin adaleti saGlamak iCin #ruhunuver,olumsuz
"'Turkcell'in sihirli kelimesi inovasyon': Turkcell CEO'su Süreyya Ciliv, şirketin 2012 ve 2013 yılında Avrupa'... http://news24h.allnews24h.com/5t9c",notr
"TURKCELL e sorduğumuzda ""sistem otomatik tanımlıyor"" dediler. Hırsızlığın diğer adıdır bu  @Turkcell @bimer @SikayetvarCom @ihd_genelmerkez",olumsuz
Ahmet Kural'lı Turkcell'lioğulları reklamını izlerken  reklamı yeni bir tarih filmi fragmanı sananlar derneği kayıtlarımız başlamıştır :),notr
Turkcell son 10 yılın rekorunu kırdı!,olumlu
İnternet için bir milyon tane hediye gb tanımlandı turkcell beni neremden tanıyo acaba,notr
"“@yokartiksende: @alemdaresra Turkcell'in son reklamındaki çocuk gibi ""babaanne"" desem, rahmetli babaannem 7 numara şişi götüme sokardı.”",olumsuz
Eski bi Turkcell reklamı vardı nasıldı aonndıtırıtı dırırırırııı aon dıtırırıtdırırırııı nerde o eski reklamlar,notr
Ya turkcell madem reklamda fatih artmani oynatcan yakin boyda birini bul yazik cocuk eziliyodur o ne,notr
"Turkcell'in, Turkcellioğulları ile başlattığı yeni reklamlar saçma sapan :-P Özelliklede Erkin Koray'ın olduğu reklam :)",olumsuz
Turkcell maxiplus5 alacak veya düşünen varsa vazgeçsin çok berbat bişy taksiti var diye kıramoyrm yoksa duvara yapştırıcam,olumsuz
turkcell düzeldi,olumlu
ben bıktım şu özel aramalardan turkcell özel arama nasıl kapatılıyor biri söylüyebilirmi?,notr
Turkcell candir gerisi heyecan,olumlu
turkcell çok iyi bir operatör lan müşteri hizmetleri bile baya samimi,olumlu
turkcell reklamı fazla iyi olmuş ya insan reklam çıkınca ekranın başına koşuyor resmen,olumlu
Mustafa sandal in turkcell reklami ilginc ya ''bu kiz beni gormeli bana kazak ormeli'' haha :D,notr
Turkcell bize kazık sokalı 20 sene olmuş aq,olumsuz
Başkentli Onur Ver Çoşkuyu 2017 Artık Dijital Platformda ?TTNET Müzik ?I-Tunes ?Turkcell ?Vodafone ?YouTube ?Daily…,notr
@TurkcellHizmet @CaglayanHarun Turkcell in satış sonrası hizmeti yoktur. Cihaz satilana kadar Iyi.,olumsuz
lg telefon kullanmayin eninde sonunda elinizde kalir. turkcell kullanmayin daha iyi kaliteye az paraya #vodafone var #tecrUbekonusuyor,olumsuz
Sayisiz sacma sapan reklamlar yapan pepsiyi tek reklsmda sacmala rekoruyla gecen turkceli kutluyorum bu neki la turkcell style vjcbfkcbndsgk,olumsuz
turkcell in reklami müthiş olmuş ahahhahaa,olumlu
turkcell canım daha dün kontor yükledim sana hemen eksilere inmenin alemi yok yani az yükseklerde kal bee tatlım,olumlu
@Bircanonline şu turkcell isi olsa taşınırdım amk,notr
banuelfan banuel diplomasi programını seyret nasıl diplomasi yapılır öğren :))) turkcell geri geri yürüyen kız reklamı :))),notr
turkcell ve memnun gibiyim biraz,olumlu
Lanet turkcell günde 10 kere fatura hatirlatmak zorundamisiniz? Otomotik ödeme talimati var zaten.ne diye 30 kere mesaj atiyorsunuz.,olumsuz
I LOVE YOU TURKCELL...ne varsa turkcell`de var,olumlu
TURKCELL GLOBAL BİLGİ BAŞARIYA DOYMUYOR - Egede Gündem - Haber - İzmir - Ege - Son Dakika - Spor,olumlu
turkcell gebze veri merkezi haziran'16 da hizmet vermeye baSlIyor #teknolojizirvesi,notr
turkcell artık 1gb internet hediye vermiyor paket alınca. bu da beni üzüyor tabi.,olumsuz
ne demek telefonum kitlendi turkcell ?????,olumsuz
beşiktaş'ın sponsoru vodafone varken gidip turkcell'e fatura ödeyince bi acayip hissediyorum,notr
Telefonum bazen titriyor bende mesaj geldi diye heyecanlaniyorum falan ama gelen mesaj hava durumu kadin yasam turkcell.........,olumsuz
Turkcell niçin bedava internet paketi yollamiyorsun artık .s.s,olumsuz
Eskiden Turkcell mesaj atardı şimdi aramaya başlıyor yakında içip içip kapıya dayanır beklerim yani  :D,olumlu
turkcell den 18 yıl sonra nihayet kurtuldum.,olumsuz
"aSkI bilmeyen bir erkeGin veya kIzIn kalbi, maSallah her yOne turkcell mUbarek .",notr
@YildizzTilbee turkcell candır,olumlu
Fatura kotanizi asmamak için bile ekstra ucret odediginiz operatore Turkcell denir.,olumsuz
@ibolasshole ne Vodafone'u Turkcell'e geç sen.,notr
kolay iş turkcell var gider şikayet eder tarife alırım adam akıllı ne uğraşayım ? statla uğraşana kadar önce işini yap madem,olumsuz
SunExpress'ten Turkcell'lilere Dış Hatlarda %20 İndirim  http://www.havayolufirsatlari.com/sunexpress-turkcelllilere-dis-hatlarda-yuzde-20-indirim …  #SunExpress #Turkcell #indirim,olumlu
"Turkcell reklamları abartmaya başladı, yakında ya sizi kazıkladık ama inanın kendimiz için değil, bu kadar fatura... http://fb.me/6zPDgvU1o",olumsuz
turkcell reklam cekmek icin bula bula kadir has'ı bulmuş. gördükçe okul özlemim daha da artiyo :( takinti oldu bu reklam artik :),notr
"@Turkcell bulunduğum yerde download hızında turktelekom daha iyi, upload hızında turkcell daha iyi, Vodafone ikisinde de üçüncü",notr
"Koskoca listeye ""asi ve mavi"" şarkısını koymamışlar. Yazık Turkcell. Çok yazık ?? Gömülü resim için kalıcı bağlantı",olumsuz
Benden duymus olmayin ama Turkcell kontratli iPhone 5 satislarina 15 Aralik'ta baslayacakmis.,notr
Turkcell son zamanlarındaki internet performansından dolayı yerlerde!,olumsuz
"iCinde 14 SubatIn sevgililer gUnUnUn geCtiGi mantIklI tek cUmle sensin, teSekkUrler turkcell |45",olumlu
turkcell in yeni ceo su kterziog olmuş. hayırlı olsun. kendisinden beklenti baya büyük olacak.umarim bu beklentileri karşılar.,notr
"sinirlerim bozuldu ya bu nasIl bir saygIsIzlIktIr ki sen kendi sanatCIna bile sahip CIkamIyorsun, korkularInla hareket esiyorsun turkcell",olumsuz
turkcell'e dava açalım mesajlar iletilmiyor bu ne rezalettir,olumsuz
35 lirayken bile 45 lira veriyodum akU djdbsjsjsjd en iyisi 3gb olsun turkcell yine kazIklIyo hadi hayIrlIsI |14,olumsuz
turkcell türk telekom açıklamalarına rağmen fiberde bir numara olduğunu tekrar vurguladı. polemikler bizi bekliyor https://t.co/SkRo5qxqKX,olumsuz
3 saattir uyuyorum ne bi mesaj ne bi arama turkcell bile unuttu. Ben ne zamandır böyle yalnızım mk,notr
"Kız ewden kaçıyor, üstüne ewleniyor, bide çocuğu oluyor, sonra babasına bi mms atıyor ve barışıyorlar... TURKCELL' le bağlan hayata :)",notr
Arkadaslar turkcell bana bayram hediyesi 20 tl yollamis canım ya :d:d,olumlu
turkcell bugun de 7 gb hediye internet yolladi neler oluyo cok merak ediyorum,notr
Turkcell T50 alsamm mı acaba?kullanan var mı?,notr
turkcell reklamInda oynayan arkadaSIm var evet.,notr
bu turkcell sömürüyo adamı internet hemen bitiyo  avea inş öyle değildir bakalım bi,olumsuz
turkcell beni geriyooooooooooo,olumsuz
Yandex ve Turkcell tamamen yerli bir arama motoru kurdu  #Teknoloji,olumlu
"@Turkcell @superonlinetr turkcell bayiileri camlarına sınırsız ev interneti 39,90 yazıp pazarladıkları süperonline pakti hkknda bilgileri yk",olumsuz
genC turkcell in Care internet hediyesi de olmasa oturup hUngUr hUngUr aGlardim heralde o kadar depresifim |08,olumlu
Bazen kendimi turkcell gibi hissediyorum,notr
4.5G gelene kadar hiç çekmeyecek galiba? Turkcell,olumsuz
Turkcell numara tasiyanlara kalan borcunu bildirmeyip direk avukata aktararak katlamali para tahsil edip intikam aliyor.aman dikkat.,olumsuz
Yaa Turkcell sözde en hızlısın lanet bu kadar agır internet olamaz yaa,olumsuz
+Alo polis mi ?- Evet buyrun+ Beni tehtit ediyorlar- Kim neden ediyor ?+ Turkcell yükleme yapmazsan hattını kapatırım diyor,olumsuz
Turkcell Hisse Düşüşü Algortimik Hata Değil Dolandırıcılıkmış   #turkinternetcom,notr
nöbetçi turkcell bayisi yok mu ya paket yenilemem lazım,notr
turkcell sana kafa göz dalarım vallah ben boşuna mi oraya şifre koydurdum numaramı veriyorsun millete ????,olumsuz
Turkcell kuzum neler oluyor? Neden 3G çekiyor gösterip numara yapıyorsun ? İnternet bağlantısı yok diyor,olumsuz
çok mutluyum iyiki turkcell'de çalışmışım iyiki güzel insanlar tanımışım????onlarla karşılıklı iyi ilişkiler kurmuşum ne mutlu bana ????,olumlu
artık en iyisi @vodafonetr ye geçmek çünkü artık turkcellin boku çıktı @tcellplatinum @turkcell @turkcellhizmet,olumsuz
Kusura bakma ama bizz seni görünce turkcell reklamındaki amca gibi oluyoruz altılı yedili PAT PAT PAT fazla ego kasma http://t.co/4sqZOEMm4f,notr
"Yandex ""ENSAR"" destekçisi Turkcell ile proje başlattığınız doğru mu? @YandexComTr",notr
Android Kelime Avı (Fugo) Oyunu: Turkcell'in sponsor olduğu ve Fugo firması tarafından geliştirilen Kelime Avı,notr
Turkcell annen varmi annen,olumsuz
"gece saat 2'de 2adet fatuta bilgilendirme mesajı attığın için sağol turkcell turkcellhizmet . öğrenemesem uyku tutmaz, işe gec kalırdım.",olumsuz
"Gittigidiyor, Morhipo, Little Caesars, TDED, Turkcell, Dominos, İHH, Yeryüzü Doktorları olmasa mesaj atanım yok.",notr
kimeneyazar bilmem ama turkcell iyi yazar,olumsuz
Turkcell de ki özgüveni istiyorum adamlarda müşteri kaybetme korkusu yok,olumsuz
"10 günlük turkcell macerası yeterli,terkediyorum seni turkcell.Zalım turkcell...",olumsuz
Turkcell internetin daha ne kadar yavaş olmaya devam edecek acaba.,olumsuz
Turkcell 3G nin inanılmaz hızı hakkında reklam yapıyo biz Fun Run'da oyundan düşüyoruz,olumsuz
@t_u_g_r_a_ rize bu maça kenetlendi .turkcell ücretsiz passolig ve bilet dağıtımı yaptı ..yarında devam edecek..beraberlik iyi .ts kötü şuan,notr
"turkcell'e verilen hizmetlerden, mUSteri temsilcilerinden ve kampanyalardan OtUrU teSekkUrlerimi sunarIm. @turkcell @tcellplatinum",olumlu
Turkcell Müzik'te Sezen Aksu-Hala Haber Bekliyorum Senden şarkısını dinliyorum. Sen de dinlemek istersen;  http://trcll.im/00R7J,olumlu
"turkcell'den oldum olası memnun olamadım. aylarca 250 tl üstünde fatura ödedim, cihaz kampanyasından kredi pua...",olumsuz
Turkcell sponsorluğunda yapılan iPhone6 ve iPhone Plus reklamları hiç olmamış.,olumsuz
"Sony Xperia Satış Temsilcisi Kenan Yıldız, bu hafta sonu Kadıköy Şengüller Turkcell’de #Xperia XZ hakkında merak et…",notr
Aynı sebepten ötürü telefonu yine servise gidecek yarın.Bu sefer yenisini talep edeceğim eğer gelmezse Turkcell'i başlarına yıkacağım.,olumsuz
