Sentence,Sentiment
Çekim gücünde Turkcell'i geçmiþ olan; OÐLAK,3
o deðil de Turkcell'cim sana teþekkür ediyorum bu tvitimde.8binküsür dk varmýþ benim sadece trkcll ile konuþabileceðim.niye her yöne deðil!,2
#hayattansogutanseyler  in çok pahalý olmasý.,2
TURKCEL SEN VE TÜM PERSONELÝNÝN A.K,2
hizliyim ama hayirsiz degilimm :) bencede goruselim :) turkcell boy :),1
turkcell yedek,3
coco cola reklamýný nedense her çýkýþýnda turkcell reklamý sanýyorum,3
Yunus Sinem Evlilik #3kelimeyle2011,3
süperonline veya uydunet baðlantýlarý ile,3
"iPhone 4S 32 gb beyaz aldým Turkcell den, hayýrlý olsun bana :)",1
avea ya bak sen turkcell ý ne hale sokmus bunlar yuklu tazmýnat odemek ýstýyor bellý oldu artýk :):) :),2
"su an iniyor. :) ama 6 saat verdi mkv'ye, derhal daha hizli insin. ya superonline fiber ne guzeldi amk cihangir.",1
"eger sansýn varsa superonline fiber optik, yoksa zaten diðer hepsi ayný",1
Kommensalizme ornek:  ve ben. Turkcell yararlanirken benim biþeyden etkilendiðim yok.Mutualizmi avea ile deneme karari aldim.,2
sanirim turkcell beni kazikladi,2
"Var avea, hem bana bugün beleþ 250mb internet verdi, bunu bana turkcell verebilir mi sorarým büþra?",2
turkcell atýcak tabi sana mesajý ben mi atýcam,3
yok cnm Turkcell hep öyle malesef:S,2
Turkcell in faturalandýrma sistemi = Kime ne tutturursan sistemi..!!!,2
saygý deðer sevgilim  beni hep sen arýyorsun msj atýyorsun. senden baþka soraným yok fakat isteklerin çok oldu ama...,2
"Mesaj geldiyse Turkcell'dir, arýyorsa evdekilerdir :(",2
Kontür yüklemesem Turkcell'in mesaj atacaðý yok hep benden bekliyor ilk adýmý,2
Ýncelemek 1 halta yaramýyor.Ýzmir'in en iþlek yerindeki 4 TÝM'i gezdim&amp;sadece 1 tanesinde 4S var orada da beyaz yok.Bu mu  kalitesi,2
Reklamý bana   reklamlarýný çaðrýþtýrdý. Bu çaðrýþýmý yaratan Turkcellse baþarýlý olan da haliyle o! Deðil mi?,1
"Bu kýz skype'ýna çalarken dinlet yapmýþ. Arayýnca ""Þimdi Turkcell'le hayat, daha fazla hayaat"" çalýyo.",3
"Numaranýzý vermek istemezseniz ""Rumara""nýzý verin :) Üstelik 30 Aralýk’a kadar Rumara'dan Rumara’yý aramak ücretsiz!",3
heryone degilim ki sadece turkcell o yuzden,1
"Ýleride belediyede iþe girersem Turkcell'in ' Belediye Paketini  alýrým kesin,çok saðlam..",1
Bu Turkcell'de iyice uçtu. Yok 20 yükle 120 al 40 yükle 400 al Hesaplamalarýma Göre 30Bin TL Yüklesem þirketi...,2
Keske hayat gerçekten paylaþýnca güzel olsa!,3
bizi etse etse turkcell memnun eder :D insafli davranmyrlar bize :D,3
Bi umut açýyorum ya mesajlarýný yazýklar olsun sana da bana da Turkcell.,2
bunlarýn hepsi böle digiturk turkcel telekom soyguncu,2
Bu saatte telefon faturasý mý gönderilir be Turkcell? Ben þimdi nasýl huzurla uyuyacaðým?,2
özetle bu akþamýmý rezil eden VODAFONE dan artýk nefret ediyorum. Turkcell de kazýk mazýk ama hakkaten kaliteli. donmek gerekiyor,1
turkcell cvp atmis. Knka sitemzden bakabilirsiniz diye :p. Ve hala kitaptayim,1
"Size bir sorum var. Turkcell'liler, Avea'lýlar diye neden ayýrýyoruz, zira TDK farklý bir görüþ söylüyor.",3
Dur bi mesaj atalýmda sevgilisinden zannetsin.  -Turkcell :D:D  &gt;&gt;RÝHLE&lt;&lt;,2
yok ya iyi turkcell alistim,1
"#vodafone #turkcell - SMS paketi alýp her ay, atmadýðým sms'lerin parasýný ödemek istemiyorum. internet üzerinden 3...",2
hayat paylaþýnca güzel :)),1
hayat paylaþýnca güzel lalalalalalalalalal :D,1
"Radyo 91.6 çok baþarýlý... Özellikle Turkcell'le Trafikte programý. Yavuz Semerci, Açýl Sezen ve Kerimcan Kamal'a bravo...",3
note kullanmayanýn oyu makbul deðildir,3
"Bu akþam Turkcell beni mesaj yaðmuruna tuttu bu arada,o bile üzüldü halime o derece",3
ama paylaþmak zor geliyor elim titriyor evdekilerin gözünün içine bakýyorum yemesinler diye hayat paylaþýnca güzel deðilmiþ meðer,3
umarim bu mesajdan sonra bana geri donus yaparlar,2
3 gunde 1 gb nasil biter nasil pis turkcell:(,2
#simdikiaklimla  tim 'den taahhütlü cihaz almazdým...,2
sorma ya turkcele inat 2 hat kulaniyorum turkcell -8 tl :),2
2 saat once kontor yukledým ama hala sms ým yenýlenmedý bok ye turkcell.BOK YE,2
reklamlarýnýzdan nefret ediyorum,2
"ki çöpçüde de karýsýnda da turkcell kampanyalý telefonlar var. 100 kiþiden 1'ini bile etkilese yeter. güzel taktik, ince reklam.",1
Ýþte yeni GTA V videosu!  via,3
bu turkcell cagrý merkezi beni deli ediyor bi türlü anlaþamyruzzzzzzz!!!!,2
"""10 mb limitsiz"" internet baðlantsýna kota koyan zihniyeti kýnýyorum  #superonline",2
Bna gelcektin hani selocan? MUCK yalan mi etti bzi yoksa :)),3
"sesli mesaj sevrisi 7565 ucretli olmus. Ama bu suprizi 7565'i aradiginizda ogreniyorsunuz, supriiizzz 0,50TL",2
"merhabalar, þu internet paketlerinde bir düzenlemeye gitmezseniz 12 senelik bir 'Turkcell'liyi artýk tamamen kaybedeceksiniz",2
Ýþte Joygame ve Turkcell iþbirliðinden müthiþ bir kampanya daha. Joygame; Turkcell Mobil ödeme ile yükleme yapan...,1
bu turkcell artýk ne yapacaðýný þaþýrdý abi her kontör yüklediðin an paket olmadýðý halde yenilediði þeyler var,2
Kevser Turkcell misin seninle bi sipeþýl olarak konuþalým :D,3
Bugün Turkcell'e bedava ama arayacak Turkcell'li yok,2
onu geçen hafta bende yapýyordu bu superonline. Þu an rahat girebiliyorum ama O_o,1
lutfen size atmis oldugum twitime cvp verip beni bilgilendirirmisiniz ?,2
Bu numara taþýma iþinde turkcell çok zarar etti. Protokole imza attýðýna piþman olmuþtur eminim :),3
bu arada dünkü turkcell anahtarliklarini göstermedim demi haha,3
#turkcell mudo indirimin güzel olmuþ valla ya.,1
mesaj atýyosun turkcell tamam onu anladýkta niye bi mesajý 2345678987654567890987656789 kere atýyosun henüz anlamýþ deðilim????????******,2
Oc turkcell,2
Cocacola'nýn yeni reklamý her zamanki gibi güzel olmuþ. Turkcell'den taklit etmesini bekliyorum. Yakýnda izleriz.,2
ay aynýsý baþýma geldi yaaaa...az önce yazdým hatta tcell yurtdýþý internette fena kazýklýyo diye:/,2
Dur bi mesaj atayim da heyecanlansin -Turkcell,3
Koton ve Mango'nun cekim gücünün yanýnda Turkcell avea ve vodafone halt yemiþ.,3
Bu anlamlý günde Sherlock'a gidilirdi zaten. Hatta bûtün seanslar Turkcell'in kampanyasýndan dolayý dolmadý. #Happy39thDavidJudeLaw,3
selocan yazýsýný okuyunca üstüme alýndým bi an ama sonradan amca kelimesi gerçeði anlamamý saðladý :D,3
"Nihayet eve fiber internet geldi. Superonline, Karamehmet'in yýllar önce döþediði fiber aðý engellemeler yüzünden anca devreye sokabildi.",1
Sanýrým iphone 4si en ucuz turkcell ve darty satýyor 2bin liranýn altýnda satan iki yer,1
Limitsiz internet diye satýlan tarifenin 100gb kotalý olmasý çok saçma teþekkürler superonline,2
1 gb internet yapiyorum hala internet kullanimindan param gidiyo  aq senin ahhahahaha,2
4 cekermish! Kactir kesiliyor konusmanin ortasinda! Yalan dolan reklam yapacaginiza azcik yatirim yapin..,2
11 yýldýr buradayým Turkcell'de arkadaslarým var. Hala bir sikim olamadým,3
o zaman Turkcell çöpçatan mi oluyor:))),3
Konturum olmadiginda Turkcell in bana msg atmasi bile insani uzuyo lan.Tl yuklede bizde kurtulalim gibi gunde 5defa...,2
"""1 yeni film vizyone girerken, gnctrkcll þifresi arayan 3 milyon kiþi var."" ahaha",1
siz insanlarý kandýrýyorsunuz,2
superonline :),1
olay nedir abi kaçýrdým ben,3
198TL Fatura! Ey Turkcell! Her ay beceren sensin ama o bebek selocanlar yine senden çýkýyor! Nasýl bi'tongaya düþtük anlamadým ki amk!,2
"Beni kazýk yemekten bitap hale dusuren turkcell amca,bana bu ay heryone 100 dk ve 300 sms verdi.sagolsun varolsun.",2
"iyiki varsýnýz    siz olmasanýz mesaj da geleceði yok,telefon özelliðini unutacak nerdeyse. O kadar ki yalnýzým:)",1
bugün turkcell mesaj atmadý kesin aldatýyo amk,2
"bize yazmadýðý bi odunca ""thank you""'yu bile eksik ediyo o telefonun bipbipbip *-bide turkcell heryerde çeker diyolar* alksjajn",2
muteahitlerinin akþamdan hiç bir uyarý yapmadan sokaðý kazýp bizi arabayla mahsur býrakmasý büyük bir Internet hizmeti oldu,2
*HAYAT PAYLAÞINCA GÜZEL!!!,1
turkcell partner 20 gunfur cvp vermiyor? oyalýyor? tv projem var neden ilgilenmiyorsunuz?,2
Ooooooo telefon alicaklar gitsin Turkcell'den htc alsýn yanindada in-ear beats veriyorlarmýþ çoðiyi ya,1
neredeyse kurulduðundan beri Turkcell kullandým AMA bu gece mobil modemle saatlerdir 56 k modem gibi baðlanýnca seni terk zamadýr,2
"“Turkcell ""kim aramýþ"" diye göstereceðine ""kimler aramak istemiþ"" diye gösterseydi herþey bambaþka olabilirdi.”",3
"çarsamba gecesi suadiye TÜRKCELL çalýsanlarýnýn düzenlemiþ olduðu KARAOKE Gecesinde görüþmek üzere,,,,",1
"""Pahali olunca kaliteli oluyormus"" diyor uyduruk bir operator. Ben de parasi neyse veririm, her yerde ceker, konusurum"" diyorum.",1
Ýkitelli OSB ile ilgili herhangi bir çalýþma baþlattýnýz mý acaba? ne zaman geçebileceðiz superonline'a?,3
"Beyni fazla çalýþýo ama deðiþik çalýþýyo :) buralarda çok yeni keþfedilesi, hepimiz #ff yapalým ee hayat paylaþýnca güzel ;)",3
Bugün turkcell müzik konserlerinde  Manga'yla birlikteyiz saat 15:00 itibariyle Manga sizlerle iyi seyirler  (www.turkcellmuzik.com),1
#3kelimeyle2011 turkcell banapiyano alýrmýsýnlütfen?,3
"O zaman bi daha sen de öyle davranma, sen ataydýn o da iyiydi. Hem turkcell neyine yetmiyo :(",1
Daha birbirinizdn haberinz yok turkcel mus.hizmeti.sizdn bilgi alip inanmickda bu millet kime inancak :d ama sakaya hala guluorm cok iyiydii,3
TURKCELL yaðlý kurþunlara gelesin emiiiiii,2
Sanýrým Turkcel bana asýk bu satte bana 3 tane msj attý :D,2
Klasik bir  vakasý... Hattýnýza TL yükledikten sonra kampanya öneri bombardýmaný...,2
#hayattansogutanseyler uykunun en guzel yerinde Turkcell'den mesaj gelmesi.,2
elif:kýzým avea çok iyi ya 11.000 sms 11 tl. özge:turkcell de de 10.000 sms 1o tl ne oluyo? ahahahahahhaha salak hobbit yaa,3
iphone 4S için Turkcell'de paket detaylarýný açýkladý,3
"Bende tam 00.00 kim beni dusunuyor demistim ki, turkcell mesaj atti. Canim.",2
"iPhone'a mikro sim kartý  den aldýk, itunes aktivasyonunu Vodafone'da yaptýk. Panora AVM'deki Vodafone bayisine teþekkürler.",3
Bütün Turkcellilerde hayat paylaþýnca güzel çalýyor.. Hoþuma giden müzikten midem bulanmaya baþladý sanki :))),2
hahaha cümle arasýna turkcell yaz belki bir pano asarlar :)),3
hayata baðlan turkcelleeeee,1
Çüþþþþþþþ turkcel sms paketýný 14 tl yapmýsssssss ohaaaa yaný napmaya calýsýyosun sen turkcelll!,2
turkcell,3
cimbomum ne yaptý bgn bea ;) 4 çeker tarife,3
artýk superonline'i iptal etmek zorunda kalýcam býktým ama internetim geri düzeldi.bir tane  youtube videosunu bile yükleyemiyr,2
"eðer gelmemiþse bile, ben trcell superonline'ý kesinlikle öneririm.. re:",1
Benim tekrar turkcell'e geçesim var. Böyle kendimi çok yalnýz hissediyorum kimse mesaj atmýyo artýk :(,1
neden ki :S yok yav yeter bütün paramý türkcell'e verdiðim :D en az 1 yýl vodafone'dayým,2
tweetlerini sabahtan beri toplayamadýðým odamdan takip ediyorum ve diyorum ki hayat 140 karakteri paylaþýnca güzel.,1
hayat paylaþýnca güzel...türkcell...,1
ne yani turkcell pahalý mý demek istiyorsun :D ???,2
"evet, guzel olmus.",1
hahahahaha bnm arkadaslarim var ben seni vodafone da ise sokarim :) bosver trcell i :),2
Sana ne kadar teþekkür etsem azdýr Turkcell :),1
Hayat paylasinca güzel diye slogan çýkaran  CEO'su her ay maaþýnýn yarýsýný benimle paylaþýrmý acaba?,3
Iyiki bbm var mesaj gelince amaan turkcell den gelmistir deyip gecmiyorum,2
Sabah sabah kendimi koridorda''TURKCELL BENI SESIMDEN TANIR'' diye bagirken buldum.Bir internet paketi icin insan neler yapiyo,1
Selocan napiyirsinn,3
turkcell reklamlarinda temizlik iscisi bile ipone kullaniyor bilbort resmi cekiyor cari acik nasil oluyor iste !!,3
iphone 4s turkcell de 16aralik taa2Soy1C,3
hayir!,2
Ne zaman Tweet'er yada Facebook'a girsem benim Turkcell 2G ye geçiyor.Alacam ayagýmýn altýna.,2
bugün turkcell mesaj atmadý istemeden kýrdým mý acaba :(,3
kalan sms:1980  bitiþ tarihi:8ocak -OÇSUN TURKCELL,2
"Ananida Al git Turkcell, Yoksa Cok karde$ gelicek sana Coooookk...",2
"eyvallah, hayat paylaþýnca güzel :))",1
hayir.android for twitter daha kullanisliydi.ozellikle gundem kismi.,3
Turkcell oynattýran kampanyanýn hediye kuponlarýnýn mesajlarý telefona mesajmý gelecek?,3
hayat paylaþýnca güzel:),1
Her evrakým ve ödemem tamam ama tel.kapalý.agýr hastam var.LANET OLSUN SANA TURKCELL.Ölmek istiyorummmm,2
#BuKutudaNeVar  :D  :DDD: D: :D: D,3
"""Hayat Paylaþýnca Güzel"" günaydýnlarrrrrrrrrrrr :)))",1
Burda da Turkcell olaydi iyiydi.,1
Lan sms paketim var kontorumu yiyosun adi turkcell pislikler,2
vodofone'u yurtdýþýnda kullanmak mantýklý ben turkcell ve aveada sorun yaþayanlarý gördüm ama vodofoneda ben dahil sorun yaþamdm,2
Bu gece Turkcell Teknoloji'de sabahlayacaðým galiba.,3
yok bu kadar reklama göre uydu hýzýnda sanarsn ) #ttnet 75tl fatura oduyorum ona uyz oluyorm  superonline kurtar beni:),1
"CHP kafasý var sende  , pazar hep senin olacak sanýyorsun ama  reklamýndaki gibi 820 bin kiþi gitmiþ. Daha da gider.",2
sen türksel deðilmisin :O,3
o deilde bugün turkcell hiç msj atmadý amk kesin baþka biri var :(,2
halbuki bunun tarife dýþýnda extra ücretlendirildiði bildirilmeli gelen mesajda da bu tari dýþýnda þeklinde bir ibare olarak,2
zamman tunelýný ýptal etmek ýstýyorum yardýmcý olurmusunuz,2
TURKCELL LE GÜLÜMSE HAYATA DEYÝP SABAH SABAH GICIK EDERMÝÞÝM :))),2
"Mutlulugu baskalarinda aradim bulamadim sonunda yine sana geldim Turkcell'cim,anladim senden baskasi yalanmis..",1
superonline a gec kafa rahat :),1
yalancýlarýn reklam panosu gibisin,2
herseyleri problem. modem iade edecegiz. timlerde geziyoruz. onun sifresi yok bunun bilmemne elemani yok. olum resmen. #superonline,2
nee ben açtým ama :/ turkcell beni kazýkladý :( hala þifre yok :D,2
Kahvalti ve sonra turkcell yollarina dusucem,3
telefonumu gizli numaradan arayýp hattýnýza geçmemi teklif etmenizden tiksindim. geçeceðim varsa da geçmem.,2
#encoksevdigimsey Turkcell ile hayata baðlanmak,1
Seni seviyorum dit dit diritdit senden nefret ediyorum -turkcell degistirir,2
"Sakarya'ya #Superonline fiberoptik dosuyor. Hersey daha hizli,daha pahali.",3
Ýstanbul Sanayi Odasý'na göre 2011'in en inovatif þirketi Turkcell Teknoloji oldu. Tebrikler:),1
"Merhaba,ben sevgilinizden mesaj beklerken gelen Turkcell mesaji,bana ettiginiz kufurleri biliyorum...",2
güldürdün :))  sen en seksi roman kahramýný düþün ve hayata baðlan :D,3
En azýndan  Müþteri Hizmetleri ses kayýtlarýmý vermezseniz bile çevirip çevirip dinlemenizi tavsiye ederim. :)),2
"3 aydýr turkcell den arýyolar inadýna açmýyorum,yok sesli mesaj falan býrakmalar yemezler öyle kolay kolay.",2
iphone 4 S Kanyon Turkcell de var ilgilenenlere duyurulur ..Cok kalabalik tukenmeden alin derim ..,1
Serdar'la Baðlan Hayata :)  |aysenur ;)),3
Turkcell'in 3G hýzý ABD'de deki 4G'den daha hýzlý :),1
:   #3kelimeyle2011 ha gitti gidecek :),3
benden cekecegi var.,2
En iyisi   düþünmen bile vakit kaybý :D,1
Blog Ödülleri’nde Desteðiniz Ýçin Teþekkürler: Politik Akademi olarak Turkcell sponsorluðunda düzenlenen 2011 Bl...,1
ailem hep turkcell. benim baska hatta gecmem olmaz :D,1
bu gün trkcll time gittim. win. mobile kullandýðým için wap ayarlarý manuel olarak kendim yapamadým. koskoca trkcll timde yapamadý,2
Kendimi turkcell store'da iphone bakarken buldum. Ama sonra hemen uzaklastim ordan.,3
"Metroda bile çektiðini söyleyen Turkcell'e çýkýp ""Hacý hangi metroysa o söyle bizde binelim."" demek istiyorum.",2
Operatörler internet paketlerini ücretlendirme konusunda çok acýmasýz.,2
çünkü bende maalesef 11 yýl o kazýkçý operatörde(turkcell)kaldým ordan biliyorum:),2
"MOODY'S, TURKCELL'IN ORTAGI TELIASONERA'NIN KREDI A3 OLAN NOTUNU TEYIT ETTI, GORUNUMU DURAGAN'DAN NEGATIF'E CEVIRDI",2
Sayýn  1. Neden web siten mobile uyumlu deðil? 2. Neden bana indirimli 1gb internet paketini tanýmlamadýn? Ayrýmcýlýk deðil mi bu?,2
"Peki sevgili Turkcell, neden babamýn faturasýný da benim mail adresime yolluyosun? Tam tersini yapman lazým, benimkini ona gönder tamam mý?",2
unuttunuz galiba bizim yýlbaþý geçeli 13-14 gün felan oldu. ?,2
OÇ turkcell,2
ozturkcell reklamindaki hayvani selocan puhahaha:)),1
Millet sevgilisine mms ile atsýn diye billboardlara sevgi sözcükleri yazýp yalnýzlýðýmý iyice yüzüme vurduðun için teþekkür ederim Turkcell,2
Bu turkcell'deki kadinin turk aksaniyla ingiliz ingilizcesi konusma cabasina hastayim ya. British senin neyine kardej?,2
iletiþim bilgilerimi ben size iletim iletmesine de superonline'ýn yaptýklarý geçeli 1 ay olmamasýna raðmen 1 deðil 2 deðil.,2
ben superonline'a gecince yollarsin,3
Turkcell sýnýrsýz výnn kampanyasýndan bireysl abonelrde faydalanabiliyor mu?Bir kamu çalýþaný öðretmen olarak ne kadr öderm,3
hem de nasl knþmak lazýmmm.. evet var  bu arada lanet aveadan býktým turkcell e geçmeyi düþünüyorum oley :D,1
Saskinbakkal magazasi  TIM lere cok benzemis.,3
yok o kadar da degil abartmayalim,3
cevap versene lan?,2
turkcel çok aç odan senin könturleri yiyor yani,2
rahat býrakýrsa uyuyacam !,2
Turkcell tam kaltak ya :D,2
"Bu Turkcell'de çok terbiyesiz ha , heryerde çekiyor.",3
turkcell haydi gel paketi.. enfes..,1
lanet olsun metroda çekmeyen Turkcell'e o zaman :),2
Madem hayat paylasýnca guzel paylasým faturamý sen ozaman amýk,2
nee sandin avea vodafone turkcell vizz yaninnda:D,3
benm  turksel þelerm bitti :(,3
superonline hayrýna aramaz pek:) bence aç yüzüne kapat:)),2
Nivyorklu Selocan nerdeki acep?,3
"Bu Turkcell çok iyi lan.Durduk yere mesaj atýyor, kampanyalarýyla mutlu ediyor falan.Sevgilim görüp kýskanýr umarým.",1
Belirteyim yeni hattým Turkcell ve tuvalette bile çekiyor :) Avea öyle kenarda durmakta. Çok uðraþtým çok anlattým nafile.,1
eðer oturduðunuz bolgede varsa superonline fiber net geçmelisiniz.,1
Bilmediðim acayip turkcell numarasý;þu kontorsuz ve dar zamanlarýmda mesajlarýnla bana destek olduðun ve yalnýz býrakmadýðýn için teþkürler.,1
Bi kere daha ttnet reklami gorursem bayilicam ilk firsatta superonline'a GERÝ donuyorum,1
Bir turkcell kavgasini daha kazandim(; turkcell yine faturamda indirim yapti (;,2
"Okuldan 15.15'de çýkýyorum, çýkar çýkmaz Turkcell bayiine gidip kontör yükleteceðim, 16.00 gibi atarým mesaj iþte :)",3
KKTC Girne'de Turkcell þebekesi iptal...!!!netten ulaþýn iyi geceler,2
sanane istedigimi derim ben sa na ne,2
Sabah uyandigimda Turkcell'den gelen msji bile ozledim bee,2
ve  reklamlarla acayip ayar vermiþ :D cevaplar nasýl olacak gerçekten çok merak ediyorum :),3
detay istiyorum. Kac gb'lýk bu paket? Bir de konuþma ve mesaj dahil paketler henüz açýklanmadý mý?,3
Ofis paketli Turkcell iþ telefonumu normal tcell hattima yönlendirdim. Ofis hattiyla beni arayan ofis paketinden mi ucretlendirilir?,3
öztürkcell e geçmenin vakti geldide geçiyor   :)),1
4 çeker diye reklam yapýp Dogan görünümlü sahin kývamýnda kalansin,2
"O ses Turkcell, hayirlisi:)",3
Merhaba.  sizden cevaplayip 1'e bastiginiz her ödemeli arama için 29krþ ücret aldigini biliyor muydunuz? Artik biliyorsunuz.,2
turkcell sana kýyak geçiyor :D,1
21 milyon 913 bin:  billboardlarýndaki sevgi sözcüklerinin 20 günde ücretsiz resimli mesaj olarak gönderilme sayýsý.,1
SUPERONLÝNE,3
En komigi de Avea reklamlarina cikip Turkcell operator kullanan bir unlu olurdu,3
Mesajsa turkcell'dir. Arayansa annemdir. Çok yalnýzým,2
"Bir de FSM köprüsü üzerinden geçerken #3G baðlantýsýnýn #EDGE'e düþmesine hep uyuz olmuþumdur, hala da uyuz oluyorum! Teþekkürler",2
aklýma gece 10 da gýttýgýmýz zafer plazadaký turkcell subesýndeký kufur eden calýsan geldý lan :D,2
askýým bu ay acýcam bý turkcell e geciyim de,1
küstüm lan turkcell'e ben onun mesajýna cevap verdim o ise hatalýsýn dio çok o.ç bu turkcell :D küstüm iþteee :D,2
Kaç yýldýr çýkýyoruz turkcell bi sms paketi ýsmarlamadýn.,3
Koca  iPhone 4S fiyatlarýný bir türlü belirleyemedi. Þimdi müþteri temsilcisiyle konuþtum bizden az biliyor. Ön kayýtý niye yaptýk!,2
he kardes 4 ceker araban var anladik hee,3
da iPhone 4S kalmamýþ..  ve  de durum nedir acaba?,3
Üþeniyorum gidip turkcell bayisene gidip 4s bakmak için,3
"Sevgili Turkcell dandik operatörler metroda çekiyor, Turkcell neden çekmiyor :(",2
iliþkiler karþýlýklý olmalý :))1 hafta süre karþýlýk almazsamsilerim seni ...:),2
Hayat paylaþýnca güzel Hayatým :)),1
varmý turkcellde öyle temsilci hiç bir sorun çözemeyen ve çözemezde vatandasý sömürmek üzerine kurulu düzende baþka paket sunalým,2
Bu turkcell in kamil koç ile yaptýðý kampanya anlaþmasýndan anlayan beri gelsin..Kampanyalý biletin nasýl alýnacaðý bilgisini ben bulamadým!,2
Ablacým yorumlarýý esirgeme.. hayat paylasýnca güzel olsa idi onlarda vicdan da olurdu..,2
"eee 4'ünde vodafone 'a geçiþiniz saðlannacak dendi, turkcell kapandý an itibariyle vodafone da açýlmadý :S telefonsuz kaldým ulan",2
Bu show tv de bokunu cýkarttý sureklý  turkcell'ýn reklamýný verýyo býktým sahaný gormekten ozturkcell ozturkcell yeter,3
OH BE!! Cok mutluyum :) 150 dakýkam ve 5300 sms verdi turkcell :),1
"Sen wodafone qibi Her Ani ya$arKen... Ben Seni TùrkseL qibi Her yerDe ÇeKemem.. $imDi qeL AyriLaLim Desem... Avea qibi ""OH BE"" DiyeceKSin.xD",3
turkcell muzikten 50 sarki hediye mesaji fake mi? Emin olamadim durduk yere niye hediye yollasin Turkcell diye...,2
#Turkcell cok gýcýk oldum sana!!!!,2
ozamn ben bgun profilo aliswers mrkzinde yatimm:)) yagmurda basladiki 4 saat ceker benim ora:)),3
senden þimdi formspring'den soru ile yardým isteyecektim canýsý. telefon hala kýpýrdamýyor. turkcell'i dürtebilir misin aþk için?,2
Size bu tweeti atmak için 10 dk.dýr uðraþýyorum düþünün artýk ne kadar hýzlý Turkcell Výnn. 1 yýl imzaladýðým sözleþmenin süresini,2
dedim ve sonrasýn da bu adamlar 155'ten aradýlar ve korkulacak birþey olmadýðýný söylediler. hemen Turkcell'i arayýp bilgi aldýk ve böyle&gt;&gt;&gt;,3
"#turkcell Turkcell çekmiyor arkadaþ kim ne derse desin, ' Duyuyor musun? ' ' Alo? ' ' Pardon telefon kesildi ' hep ayný… Bu nedir arkadaþ..",2
dunyanin en iyi gsm operatorusunuz bence. Hemen hallettiniz cozdunuz sorunumu cok tesekkurler artik firsat smsleri gelmiyo! Oleyy!,1
Sözleþme tarihi belli. O gün orada BB uzmaný bir arkadaþ vardý o yönlendirdi. Gerekeni yaparýz hepbirlikte...,3
senden nefret ediorum turkcell o kdr mutsuz ettin ki beni bunca yýllýk beraberliðimiz bunu haketmiyordu:(,2
selocan hahahh =)),3
Önceden Turkcell Süper Lig hiç bitmesin diyorduk ama þimdi neredeyse Spor Toto Süper Lig baþlamasýn diye dua edeceðiz,3
"Kimseyi aramýyor ve kimse tarafýndan aranmýyor,  Turkcell çaðrý merkezi bu kullanýcýlarý tespit etse sadece merhaba demek için arasa?",3
